,500/1000,,,,,,,,1500/1000,,,,,,
"Instance,","Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)",average,,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)",average
1,0.93,1.03,1.03,0.93,0.99,1.01,0.99,,0.99,0.98,1.00,0.94,1.03,1.05,1.00
2,0.91,0.82,0.96,0.76,0.94,0.75,0.86,,1.06,1.10,1.03,1.15,1.03,1.16,1.09
3,1.00,1.04,1.06,1.00,1.02,0.99,1.02,,1.02,0.98,1.03,0.99,1.00,0.97,1.00
4,0.90,1.17,1.00,0.99,1.05,1.03,1.02,,0.96,0.99,1.05,1.01,0.99,1.03,1.00
5,0.98,0.99,0.96,0.94,0.98,0.91,0.96,,0.99,1.01,1.01,1.01,1.00,1.03,1.01
6,1.01,0.95,1.00,0.96,0.97,0.96,0.98,,0.99,1.01,1.00,1.01,0.97,1.03,1.00
7,1.00,0.98,1.03,1.36,1.00,1.15,1.09,,0.97,0.98,1.01,0.99,0.99,1.03,0.99
8,0.88,0.86,0.92,0.83,0.88,0.81,0.87,,1.05,1.06,1.03,1.10,1.05,1.12,1.07
9,0.67,0.65,0.74,0.63,0.72,0.65,0.68,,1.35,1.41,1.20,1.37,1.21,1.34,1.31
10,0.81,0.75,0.84,0.76,0.84,0.75,0.79,,1.14,1.23,1.12,1.23,1.09,1.24,1.17
11,1.00,1.00,1.02,1.00,1.01,0.99,1.00,,1.00,0.99,1.00,0.98,1.01,0.98,0.99
12,0.94,0.99,1.02,1.00,1.01,1.01,0.99,,0.91,0.95,0.96,1.02,1.02,1.00,0.98
13,0.96,1.00,1.02,1.02,1.05,0.97,1.00,,1.04,1.01,1.03,1.01,1.06,0.94,1.02
14,0.94,1.08,1.09,1.06,0.98,0.98,1.02,,0.87,1.00,1.11,1.04,1.19,0.98,1.03
15,1.00,0.93,1.00,0.92,1.04,0.90,0.96,,1.02,1.03,1.02,1.07,1.01,1.04,1.03
16,1.00,1.02,0.99,0.98,1.01,1.00,1.00,,0.98,0.97,1.04,0.98,0.97,0.99,0.99
17,1.01,0.95,0.96,1.07,1.11,1.12,1.04,,1.06,1.03,0.91,0.95,1.11,1.10,1.03
18,0.99,1.02,0.98,0.96,1.06,1.01,1.00,,0.97,0.97,0.99,0.96,1.04,1.02,0.99
19,0.99,0.94,1.03,1.00,0.94,0.98,0.98,,1.13,0.97,1.01,0.98,0.97,0.98,1.01
20,1.01,1.04,0.97,1.00,0.97,0.99,0.99,,0.99,1.03,0.98,1.03,0.97,0.99,1.00
21,0.99,0.98,1.03,0.94,0.99,0.94,0.98,,1.02,1.02,1.00,1.01,0.98,1.01,1.01
22,1.02,0.97,0.99,0.95,0.99,1.11,1.00,,0.99,0.97,0.98,0.94,1.07,1.13,1.02
23,1.00,0.99,0.87,0.93,1.10,0.97,0.98,,0.91,0.98,0.83,0.94,1.07,0.99,0.95
24,0.91,0.84,0.97,0.89,0.96,0.87,0.91,,1.03,1.11,1.03,1.07,1.00,1.09,1.06
25,1.00,1.07,1.01,0.98,1.05,1.07,1.03,,0.96,1.06,0.99,0.92,0.95,1.08,0.99
26,1.01,1.00,1.02,1.00,1.01,1.01,1.01,,1.00,1.00,0.98,0.99,0.99,1.01,1.00
27,0.88,0.87,1.02,0.86,1.01,0.94,0.93,,1.09,1.06,0.98,1.03,0.99,1.05,1.03
28,1.01,1.01,1.01,0.97,0.93,1.00,0.99,,0.96,0.98,1.05,0.96,0.97,0.96,0.98
29,1.04,0.99,1.01,0.98,1.04,1.00,1.01,,1.00,1.00,0.98,1.00,0.99,0.97,0.99
30,1.10,1.05,1.01,1.00,0.96,0.99,1.02,,1.07,0.98,0.97,1.00,0.90,1.12,1.01
,,,,,,,,,,,,,,,
,0.96,0.96,0.99,0.96,0.99,0.96,0.97,,1.02,1.03,1.01,1.02,1.02,1.05,1.02